Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2730119,2025-10-12,16:30,Chile Primera B  ,Universidad de Concepcion,Curico Unido,1.83,3.4,4.33,0.78,0.5/1,1.03,2.0,2.5/3,1.8,H,9.0,9.0,0.2222222222222222,7.769999999999995,-0.4444444444444444,-7.770000000000003,0.2222222222222222,26.700000000000003,0.188775429471914,-0.5555555555555556,4.399999999999995,0.188775429471914,15.54,22.300000000000008,0.377550858943828,0.2512137535958047,1.7473864030803297,-0.3948104869010421,-0.26581268648799,0.6460242404968468,2.0131990895683196,Home,Home
2837855,2025-10-12,16:30,Primera Division de Paraguay  ,Sportivo Ameliano,Guarani CA,3.1,3.25,2.3,0.83,0/-0.5,0.98,1.93,2/2.5,1.88,A,18.0,18.0,-0.0555555555555555,11.099999999999996,-0.2777777777777778,25.59,0.0,11.679999999999998,0.2679886791947528,-0.1111111111111111,28.340000000000003,0.2799923761135083,-14.490000000000004,-16.660000000000004,0.5479810553082611,1.9040920514736837,1.3787731396099248,1.6568796125102196,1.1647895333150924,0.247212438963464,0.21398360629483237,Home,Home
2885008,2025-10-12,16:30,Peru Primera Division  ,Alianza Atletico Sullana,Los Chankas,1.48,4.0,7.0,0.78,0.5/1,1.03,1.8,2.5,2.0,D,15.0,15.0,0.4666666666666667,12.7,-0.8,8.669999999999996,0.6666666666666666,26.700000000000003,0.2138050993040052,-0.9333333333333332,15.309999999999995,0.4171312515121298,4.030000000000003,11.390000000000008,0.630936350816135,0.6353049017494415,2.6297862394040923,1.2576256440035032,1.718884490588552,0.6223207422540616,0.9109017488155402,Away,Home
2815653,2025-10-12,17:10,Categoria Primera A  ,Alianza Petrolera,Atletico Junior Barranquilla,2.7,3.0,2.8,0.95,0,0.85,1.98,2/2.5,1.83,H,17.0,20.0,0.2941176470588235,14.669999999999998,-0.25,9.5,0.4705882352941176,18.799999999999997,0.2309836333518552,-0.35,11.5,0.3317819560677652,5.169999999999998,7.299999999999997,0.5627655894196204,0.8317499307459987,0.8497743871448327,0.7113591720226531,0.46707707842559093,0.12039075872334559,0.38269730871924174,Home,Home
2745146,2025-10-12,17:30,Brazil Serie B  ,Criciuma,America MG,1.95,3.25,4.1,0.98,0.5/1,0.83,1.75,2,2.05,H,15.0,15.0,0.8,-9.31,-0.4666666666666667,3.3299999999999965,0.9333333333333332,20.0,0.2914343243183204,-0.8,-11.330000000000004,0.3011663015105079,-12.639999999999997,31.330000000000005,0.5926006258288283,-0.8316378523462263,-0.02265244399769317,-0.549248684614602,-1.3105039342038542,0.28238916773162437,1.287851490206161,Away,Home
2745150,2025-10-12,17:30,Brazil Serie B  ,Vila Nova,Amazonas FC,1.85,3.2,4.75,0.83,0.5,0.98,1.9,2,1.9,D,15.0,15.0,0.6,8.669999999999996,-1.0,6.699999999999999,0.8666666666666667,6.699999999999999,0.2127095754398804,-1.0,-6.700000000000006,0.3552248097226855,1.969999999999997,13.400000000000006,0.5679343851625659,0.8418110569888494,1.4788734601024491,-0.3346444998585421,-1.1425166463430192,1.1764555568473916,2.6213901064454683,Home,Home
2858441,2025-10-12,18:00,Ecuador Campeonato Serie B  ,San Antonio(ECU),Guayaquil City,2.88,3.1,2.3,0.75,0/-0.5,1.05,2.0,2,1.8,D,12.0,11.0,0.5384615384615384,20.729999999999997,0.1818181818181818,-10.92,0.75,4.19,0.2537781703934222,-0.0909090909090909,-7.240000000000002,0.136841759461521,31.65,11.430000000000003,0.3906199298549432,0.6745740128066026,-0.12651053967012388,-0.39323230818837124,-0.21169426063802516,1.0678063209949737,0.08518372096790128,Home,Home
2887340,2025-10-12,18:00,Argentine Division 2,Tristan Suarez,Agropecuario de Carlos Casares,2.2,2.88,3.8,1.05,0.5,0.75,1.85,2,1.95,D,16.0,16.0,0.625,11.299999999999995,-0.75,34.39999999999999,0.8125,15.64,0.3552248097226855,-0.75,11.86,0.4804911034231324,-23.099999999999994,3.780000000000001,0.8357159131458178,1.0175042325937333,0.36125258910571134,1.666537201532455,-0.3317052056815807,0.6490329689387218,0.692957794787292,Away,Home
2887311,2025-10-12,18:10,Argentine Division 2,Estudiantes Rio Cuarto,Patronato Parana,1.73,3.1,6.25,0.95,0.5/1,0.85,1.95,2,1.85,D,17.0,17.0,0.8823529411764706,10.6,-0.4705882352941176,14.15,0.9411764705882352,8.830000000000002,0.261648011960881,-0.7647058823529411,8.830000000000002,0.3259026690286935,-3.5500000000000007,0.0,0.5875506809895745,0.11037042768250871,-0.08023698324127704,0.9404354455469598,1.1699683132000345,0.8300650178644511,1.2502052964413115,Away,Away
2776240,2025-10-12,18:15,Argentine Division 1  ,River Plate,Sarmiento Junin,1.45,4.0,8.5,0.88,1/1.5,0.93,1.8,2/2.5,2.0,D,16.0,13.0,1.0,-2.5,-0.8461538461538461,10.78,1.0,5.6599999999999975,0.2309836333518552,-0.9230769230769232,10.78,0.1516622361413138,-13.28,-5.120000000000002,0.38264586949316903,0.028374296035046008,0.14540985594488356,0.035049988703044765,0.7012994535076688,0.0066756926679987574,0.5558895975627852,Away,Away
2741550,2025-10-12,19:00,USA Major League Soccer  ,Austin FC,Los Angeles FC,2.7,3.6,2.45,0.9,0.5,0.9,1.9,2.5/3,1.9,D,16.0,15.0,0.75,-11.25,0.2666666666666666,10.69,0.75,3.7999999999999936,0.2309836333518552,0.2666666666666666,10.69,0.357464427565077,-21.939999999999998,-6.890000000000006,0.5884480609169322,-1.3700243075183216,0.5122478126823569,0.07759090644196605,-0.705606362627991,1.4476152139602876,1.217854175310348,Away,Home
2837857,2025-10-12,19:00,Primera Division de Paraguay  ,FC Nacional Asuncion,Sportivo Luqueno,1.6,3.7,6.0,0.95,0.5/1,0.85,1.9,2.5,1.9,H,18.0,18.0,0.5,18.93,-0.6111111111111112,-3.370000000000005,0.5555555555555556,15.599999999999998,0.2309836333518552,-0.9444444444444444,4.399999999999995,0.2799923761135083,22.300000000000004,11.200000000000003,0.5109760094653635,1.1946482487576124,0.8553289523578322,-0.4666725012257467,0.44034514019988025,1.661320749983359,0.414983812157952,Home,Home
2885009,2025-10-12,19:00,Peru Primera Division  ,Cusco FC,Comerciantes Unidos,1.48,4.33,6.5,0.88,1.5,0.93,1.83,3,1.98,D,14.0,14.0,0.7857142857142857,26.43,-1.0,31.4,0.8571428571428571,17.099999999999998,0.2320575430148813,-1.0,19.27,0.3259026690286935,-4.969999999999999,-2.1700000000000017,0.5579602120435748,2.17964363703567,1.3820635329889708,1.6952102863481777,1.0358621890123052,0.48443335068749227,0.3462013439766656,Home,Home
2815651,2025-10-12,19:20,Categoria Primera A  ,Atletico Bucaramanga,Union Magdalena,1.36,4.5,9.0,0.88,1/1.5,0.93,1.85,2/2.5,1.95,D,17.0,17.0,0.6470588235294118,-2.9300000000000037,-0.8823529411764706,26.47,0.7058823529411765,8.830000000000002,0.3195073356553728,-1.0,1.2000000000000028,0.3011663015105079,-29.400000000000002,7.629999999999999,0.6206736371658808,-0.8031184716796566,-0.48049158032040973,1.2662599756252946,-1.1804279582742738,2.0693784473049512,0.6999363779538641,Away,Home
2745147,2025-10-12,19:30,Brazil Serie B  ,Cuiaba,Coritiba PR,2.4,3.0,3.2,0.98,0/0.5,0.83,1.83,2,1.98,D,15.0,15.0,0.8666666666666667,-6.700000000000006,-0.1333333333333333,14.009999999999998,0.9333333333333332,26.700000000000003,0.2679886791947528,-0.6666666666666666,22.01,0.1268049716161809,-20.710000000000004,4.690000000000001,0.39479365081093365,0.12461866727381678,1.4788734601024491,0.016046570657503947,1.3874298354921455,0.10857209661631283,0.09144362461030364,Home,Home
2776235,2025-10-12,20:15,Argentine Division 1  ,Independiente,Lanus,2.1,3.1,3.9,1.03,0/0.5,0.78,2.0,2,1.8,D,13.0,14.0,0.9285714285714286,-9.27,-0.2857142857142857,8.57,1.0,10.78,0.2127095754398804,-0.3571428571428571,4.28,0.1770944658123681,-17.84,6.499999999999999,0.3898040412522485,0.40563549355591433,1.3487636872448545,0.9401338141900636,-0.07577437389525178,0.5344983206341493,1.4245380611401064,Away,Home
2887341,2025-10-12,20:15,Argentine Division 2,Deportivo Moron,San Martin Tucuman,2.0,2.88,4.75,0.98,0.5,0.83,2.0,2,1.8,H,17.0,17.0,0.6470588235294118,22.34,0.0,-3.550000000000003,0.9411764705882352,24.700000000000003,0.4129996672121181,-0.4117647058823529,10.6,0.3600507438551554,25.890000000000004,14.100000000000003,0.7730504110672736,1.9209260003234956,1.8344986407447745,0.40104714490090865,1.3609648656747162,1.5198788554225868,0.47353377507005834,Home,Home
2815652,2025-10-12,21:30,Categoria Primera A  ,Aguilas Doradas,Deportivo Pasto,1.7,3.5,5.25,0.83,0.5,0.98,1.9,2/2.5,1.9,D,16.0,17.0,0.4375,3.1000000000000005,-0.5294117647058824,-11.18,0.4375,-11.25,0.3552248097226855,-0.7647058823529411,-7.060000000000002,0.1634449073720273,14.280000000000001,-4.189999999999998,0.5186697170947128,-1.0214478149514525,-2.1743386873338233,-0.6380780914200146,-1.4474185422084886,0.38336972353143794,0.7269201451253346,Away,Away
